date,project,cost
29.10.2013,83,5641
30.10.2013,54,5404
31.10.2013,88,3653
01.11.2013,97,3964
02.11.2013,89,3622
03.11.2013,26,5363
04.11.2013,55,5112
05.11.2013,42,3887
06.11.2013,90,5400
07.11.2013,14,3852
08.11.2013,39,3780
09.11.2013,38,3831
10.11.2013,77,4231
11.11.2013,38,3977
12.11.2013,81,3936
13.11.2013,28,4265
14.11.2013,73,4582
15.11.2013,84,4893
16.11.2013,31,5146
17.11.2013,61,4680
18.11.2013,6,5450
19.11.2013,71,3061
20.11.2013,59,3464
21.11.2013,13,4395
22.11.2013,57,4158
23.11.2013,79,5562
24.11.2013,57,5430
25.11.2013,43,4674
26.11.2013,81,5703
27.11.2013,58,3052
28.11.2013,29,3733
29.11.2013,66,3411
30.11.2013,87,3344
01.12.2013,58,4337
02.12.2013,69,4684
03.12.2013,100,3143
04.12.2013,24,3017
05.12.2013,25,3249
06.12.2013,62,5462
07.12.2013,36,5328
08.12.2013,85,5226
09.12.2013,57,3288
10.12.2013,36,4620
11.12.2013,10,5276
12.12.2013,16,3692
13.12.2013,33,4181
14.12.2013,7,5250
15.12.2013,20,4911
16.12.2013,36,5417
17.12.2013,100,3531
18.12.2013,68,3020
19.12.2013,56,3349
20.12.2013,90,3142
21.12.2013,34,5106
22.12.2013,63,3009
23.12.2013,85,3564
24.12.2013,46,4939
25.12.2013,46,4568
26.12.2013,31,5938
27.12.2013,12,4912
28.12.2013,5,5785
29.12.2013,42,3308
30.12.2013,40,3893
31.12.2013,7,5371
01.01.2014,59,3239
02.01.2014,56,5665
03.01.2014,6,5079
04.01.2014,14,5180
05.01.2014,48,4060
06.01.2014,59,5283
07.01.2014,55,3445
08.01.2014,10,4289
09.01.2014,51,3908
10.01.2014,95,5752
11.01.2014,97,5011
12.01.2014,78,3933
13.01.2014,4,4312
14.01.2014,45,3311
15.01.2014,40,5859
16.01.2014,11,4973
17.01.2014,79,3329
18.01.2014,56,4193
19.01.2014,45,5024
20.01.2014,10,3930
21.01.2014,36,3498
22.01.2014,53,3129
23.01.2014,19,4831
24.01.2014,14,4138
25.01.2014,35,4819
26.01.2014,67,4194
27.01.2014,33,3780
28.01.2014,47,3232
29.01.2014,92,4820
30.01.2014,28,5202
31.01.2014,72,3942
01.02.2014,53,4443
02.02.2014,48,5733
03.02.2014,47,5397
04.02.2014,40,3186
05.02.2014,92,5050
06.02.2014,12,3161
07.02.2014,88,5370
08.02.2014,25,3129
09.02.2014,29,3463
10.02.2014,74,4279
11.02.2014,83,5483
12.02.2014,13,5269
13.02.2014,99,3217
14.02.2014,99,3419
15.02.2014,57,3927
16.02.2014,42,5696
17.02.2014,82,5016
18.02.2014,5,3701
19.02.2014,36,4700
20.02.2014,80,3655
21.02.2014,41,3320
22.02.2014,100,3950
23.02.2014,71,5562
24.02.2014,13,4138
25.02.2014,44,4416
26.02.2014,23,5397
27.02.2014,27,4496
28.02.2014,45,4078
01.03.2014,87,5333
02.03.2014,67,5667
03.03.2014,81,3269
04.03.2014,92,3865
05.03.2014,26,4186
06.03.2014,37,4022
07.03.2014,93,4982
08.03.2014,13,5664
09.03.2014,13,3247
10.03.2014,97,4951
11.03.2014,3,4055
12.03.2014,16,4802
13.03.2014,9,3000
14.03.2014,55,4215
15.03.2014,85,5714
16.03.2014,46,3461
17.03.2014,78,3510
18.03.2014,12,3161
19.03.2014,21,4355
20.03.2014,23,4588
21.03.2014,74,5606
22.03.2014,76,5446
23.03.2014,16,3832
24.03.2014,65,4155
25.03.2014,26,5351
26.03.2014,23,5848
27.03.2014,71,4082
28.03.2014,74,5194
29.03.2014,66,5933
30.03.2014,18,4618
31.03.2014,42,5157
01.04.2014,21,5753
02.04.2014,12,4579
03.04.2014,62,5389
04.04.2014,1,4235
05.04.2014,52,4919
06.04.2014,79,3830
07.04.2014,98,3395
08.04.2014,93,5749
09.04.2014,88,5453
10.04.2014,71,4303
11.04.2014,61,3168
12.04.2014,71,5692
13.04.2014,8,4295
14.04.2014,33,5599
15.04.2014,16,4707
16.04.2014,67,3500
17.04.2014,11,4183
18.04.2014,4,3725
19.04.2014,91,4032
20.04.2014,60,3014
21.04.2014,95,4373
22.04.2014,64,3327
23.04.2014,17,3159
24.04.2014,65,4182
25.04.2014,41,3597
26.04.2014,21,4784
27.04.2014,50,4511
28.04.2014,97,3694
29.04.2014,30,3194
30.04.2014,93,3140
01.05.2014,22,3164
02.05.2014,82,5728
03.05.2014,100,3584
04.05.2014,71,5972
05.05.2014,37,4547
06.05.2014,98,5265
07.05.2014,93,5657
08.05.2014,27,3782
09.05.2014,37,3570
10.05.2014,6,4311
11.05.2014,27,5905
12.05.2014,85,3793
13.05.2014,11,4983
14.05.2014,75,4209
15.05.2014,36,4323
16.05.2014,31,4217
17.05.2014,100,4649
18.05.2014,68,5597
19.05.2014,62,5882
20.05.2014,26,5804
21.05.2014,90,4696
22.05.2014,48,3916
23.05.2014,32,3414
24.05.2014,54,5253
25.05.2014,53,4764
26.05.2014,69,4662
27.05.2014,51,4195
28.05.2014,7,4678
29.05.2014,2,3507
30.05.2014,78,5755
31.05.2014,54,4163
01.06.2014,51,4344
02.06.2014,22,4822
03.06.2014,66,5499
04.06.2014,74,3659
05.06.2014,6,5452
06.06.2014,26,3438
07.06.2014,21,3087
08.06.2014,67,3932
09.06.2014,6,5662
10.06.2014,42,4623
11.06.2014,43,4966
12.06.2014,32,5861
13.06.2014,100,4949
14.06.2014,3,3501
15.06.2014,85,4642
16.06.2014,4,5081
17.06.2014,38,4031
18.06.2014,38,5439
19.06.2014,68,5410
20.06.2014,81,5140
21.06.2014,8,4607
22.06.2014,76,3625
23.06.2014,8,4235
24.06.2014,75,3227
25.06.2014,30,4838
26.06.2014,39,5403
27.06.2014,54,4836
28.06.2014,35,5857
29.06.2014,67,5801
30.06.2014,24,3148
01.07.2014,11,3148
02.07.2014,52,3503
03.07.2014,33,4950
04.07.2014,37,4855
05.07.2014,69,3995
06.07.2014,72,4083
07.07.2014,51,4562
08.07.2014,18,5213
09.07.2014,54,4440
10.07.2014,30,4282
11.07.2014,63,4677
12.07.2014,46,3162
13.07.2014,3,4443
14.07.2014,86,4346
15.07.2014,74,5338
16.07.2014,29,3498
17.07.2014,28,5523
18.07.2014,16,4483
19.07.2014,8,3399
20.07.2014,8,4020
21.07.2014,44,4873
22.07.2014,71,4760
23.07.2014,77,5923
24.07.2014,99,5012
25.07.2014,82,4543
26.07.2014,57,3593
27.07.2014,41,4943
28.07.2014,24,5526
29.07.2014,88,5627
30.07.2014,20,3741
31.07.2014,77,4437
01.08.2014,33,3882
02.08.2014,17,5705
03.08.2014,92,3465
04.08.2014,94,5688
05.08.2014,8,5303
06.08.2014,79,4106
07.08.2014,11,3469
08.08.2014,15,3017
09.08.2014,86,5780
10.08.2014,27,3648
11.08.2014,75,4078
12.08.2014,18,4144
13.08.2014,95,3605
14.08.2014,16,4534
15.08.2014,81,5977
16.08.2014,72,4627
17.08.2014,6,3541
18.08.2014,42,5186
19.08.2014,27,5879
20.08.2014,36,3151
21.08.2014,89,4735
22.08.2014,19,5705
23.08.2014,96,3250
24.08.2014,41,4271
25.08.2014,18,3755
26.08.2014,45,3476
27.08.2014,72,4937
28.08.2014,87,3551
29.08.2014,26,4347
30.08.2014,17,5272
31.08.2014,59,4128
01.09.2014,26,3838
02.09.2014,86,5534
03.09.2014,27,3638
04.09.2014,8,5214
05.09.2014,17,3865
06.09.2014,7,3636
07.09.2014,74,5379
08.09.2014,13,5064
09.09.2014,84,4982
10.09.2014,96,3089
11.09.2014,60,5534
12.09.2014,45,5928
13.09.2014,91,4856
14.09.2014,20,3762
15.09.2014,23,5338
16.09.2014,76,3761
17.09.2014,46,3418
18.09.2014,56,3847
19.09.2014,15,5918
20.09.2014,88,3333
21.09.2014,76,3332
22.09.2014,74,3082
23.09.2014,81,5222
24.09.2014,9,4527
25.09.2014,95,4935
26.09.2014,39,4971
27.09.2014,92,4796
28.09.2014,8,4200
29.09.2014,84,3898
30.09.2014,20,3466
01.10.2014,62,4550
02.10.2014,76,3316
03.10.2014,8,5680
04.10.2014,33,4118
05.10.2014,36,4332
06.10.2014,90,3974
07.10.2014,44,5947
08.10.2014,56,3452
09.10.2014,34,5439
10.10.2014,22,3444
11.10.2014,57,3057
12.10.2014,75,3311
13.10.2014,56,3114
14.10.2014,29,4935
15.10.2014,36,3331
16.10.2014,46,5599
17.10.2014,74,4654
18.10.2014,23,3790
19.10.2014,16,4190
20.10.2014,71,4276
21.10.2014,28,3423
22.10.2014,74,3866
23.10.2014,14,5930
24.10.2014,56,4312
25.10.2014,2,5940
26.10.2014,66,4516
27.10.2014,69,4587
28.10.2014,25,3095
29.10.2014,45,5743
30.10.2014,81,3373
31.10.2014,30,4468
01.11.2014,2,4078
02.11.2014,19,3389
03.11.2014,75,4090
04.11.2014,39,5002
05.11.2014,34,4442
06.11.2014,93,3605
07.11.2014,81,4439
08.11.2014,11,3717
09.11.2014,79,4099
10.11.2014,72,3381
11.11.2014,60,4922
12.11.2014,32,4599
13.11.2014,39,5886
14.11.2014,57,5182
15.11.2014,58,3196
16.11.2014,96,4661
17.11.2014,8,3017
18.11.2014,91,5328
19.11.2014,34,5917
20.11.2014,92,4911
21.11.2014,16,3680
22.11.2014,85,4883
23.11.2014,70,4929
24.11.2014,36,4364
25.11.2014,82,5467
26.11.2014,81,5486
27.11.2014,37,3497
28.11.2014,46,3051
29.11.2014,55,3562
30.11.2014,96,4619
01.12.2014,85,3898
02.12.2014,22,5790
03.12.2014,6,3424
04.12.2014,16,4314
05.12.2014,86,4603
06.12.2014,9,3792
07.12.2014,93,5897
08.12.2014,67,5749
09.12.2014,74,3045
10.12.2014,83,5247
11.12.2014,71,3198
12.12.2014,86,4486
13.12.2014,50,3969
14.12.2014,76,4191
15.12.2014,54,3742
16.12.2014,82,4006
17.12.2014,50,3842
18.12.2014,21,3784
19.12.2014,64,4341
20.12.2014,51,4597
21.12.2014,44,3097
22.12.2014,72,5166
23.12.2014,6,5869
24.12.2014,4,5428
25.12.2014,61,5445
26.12.2014,53,3026
27.12.2014,81,5460
28.12.2014,67,5615
29.12.2014,95,4046
30.12.2014,67,3649
31.12.2014,97,5102
01.01.2015,2,4424
02.01.2015,11,3167
03.01.2015,5,4140
04.01.2015,75,4654
05.01.2015,64,3052
06.01.2015,22,5466
07.01.2015,47,3417
08.01.2015,81,5676
09.01.2015,16,3062
10.01.2015,62,4576
11.01.2015,77,5916
12.01.2015,84,4392
13.01.2015,83,4309
14.01.2015,38,4369
15.01.2015,10,3753
16.01.2015,99,3400
17.01.2015,39,4848
18.01.2015,16,4598
19.01.2015,67,4898
20.01.2015,96,5599
21.01.2015,66,5256
22.01.2015,16,5016
23.01.2015,22,3034
24.01.2015,18,4215
25.01.2015,86,5340
26.01.2015,55,5977
27.01.2015,87,3984
28.01.2015,55,3433
29.01.2015,21,5926
30.01.2015,12,3374
31.01.2015,72,4337
01.02.2015,96,5054
02.02.2015,74,3385
03.02.2015,23,3345
04.02.2015,75,3091
05.02.2015,47,3741
06.02.2015,83,3934
07.02.2015,99,3350
08.02.2015,67,5147
09.02.2015,26,5038
10.02.2015,85,3609
11.02.2015,12,3334
12.02.2015,94,3180
13.02.2015,81,4814
14.02.2015,88,5842
15.02.2015,12,4369
16.02.2015,12,4820
17.02.2015,50,5390
18.02.2015,91,3736
19.02.2015,20,4668
20.02.2015,71,5439
21.02.2015,54,3563
22.02.2015,58,3186
23.02.2015,91,4807
24.02.2015,38,3400
25.02.2015,14,5728
26.02.2015,94,4306
27.02.2015,28,5700
28.02.2015,47,5757
01.03.2015,40,3248
02.03.2015,37,4504
03.03.2015,98,5232
04.03.2015,76,3310
05.03.2015,72,3798
06.03.2015,86,5599
07.03.2015,64,3902
08.03.2015,35,5171
09.03.2015,94,3439
10.03.2015,99,5145
11.03.2015,63,4941
12.03.2015,34,3838
13.03.2015,69,5397
14.03.2015,70,4039
15.03.2015,88,5223
16.03.2015,90,5143
17.03.2015,35,5116
18.03.2015,81,5067
19.03.2015,31,3467
20.03.2015,61,3011
21.03.2015,42,3644
22.03.2015,14,5766
23.03.2015,26,3051
24.03.2015,2,3236
25.03.2015,92,5144
26.03.2015,74,3994
27.03.2015,15,4597
28.03.2015,13,3369
29.03.2015,69,5088
30.03.2015,24,3524
31.03.2015,45,3249
01.04.2015,17,3690
02.04.2015,11,4878
03.04.2015,13,4232
04.04.2015,33,5518
05.04.2015,70,4775
06.04.2015,10,5264
07.04.2015,58,4876
08.04.2015,22,5213
09.04.2015,75,3060
10.04.2015,99,4940
11.04.2015,7,3614
12.04.2015,60,3693
13.04.2015,85,4209
14.04.2015,66,3834
15.04.2015,28,3233
16.04.2015,27,5497
17.04.2015,60,3274
18.04.2015,64,3064
19.04.2015,25,4233
20.04.2015,27,3982
21.04.2015,84,4243
22.04.2015,22,5478
23.04.2015,20,3670
24.04.2015,34,3177
25.04.2015,68,5448
26.04.2015,73,3207
27.04.2015,47,4854
28.04.2015,96,5533
29.04.2015,83,4867
30.04.2015,50,4602
01.05.2015,17,3264
02.05.2015,3,4593
03.05.2015,10,3432
04.05.2015,56,5632
05.05.2015,96,5462
06.05.2015,71,5764
07.05.2015,31,3780
08.05.2015,80,5372
09.05.2015,87,3526
10.05.2015,55,4950
11.05.2015,15,3164
12.05.2015,81,5016
13.05.2015,91,3301
14.05.2015,11,4715
15.05.2015,82,3717
16.05.2015,2,5353
17.05.2015,74,3584
18.05.2015,96,3170
19.05.2015,72,3975
20.05.2015,92,5817
21.05.2015,70,5990
22.05.2015,42,3403
23.05.2015,50,4551
24.05.2015,50,4756
25.05.2015,60,4693
26.05.2015,90,5518
27.05.2015,12,4947
28.05.2015,91,3418
29.05.2015,4,4460
30.05.2015,48,5634
31.05.2015,82,5938
01.06.2015,58,5618
02.06.2015,27,4761
03.06.2015,71,4382
04.06.2015,65,3224
05.06.2015,78,5836
06.06.2015,18,3100
07.06.2015,72,3173
08.06.2015,36,3541
09.06.2015,68,5273
10.06.2015,60,5760
11.06.2015,55,5140
12.06.2015,79,5114
13.06.2015,29,3104
14.06.2015,31,3033
15.06.2015,20,5833
16.06.2015,68,3333
17.06.2015,47,5765
18.06.2015,64,4057
19.06.2015,54,3877
20.06.2015,33,3680
21.06.2015,92,4235
22.06.2015,27,3882
23.06.2015,63,5912
24.06.2015,17,5286
25.06.2015,67,3984
26.06.2015,32,4822
27.06.2015,33,4366
28.06.2015,14,3397
29.06.2015,47,3333
30.06.2015,21,5665
01.07.2015,59,5085
02.07.2015,1,3036
03.07.2015,97,3228
04.07.2015,63,4614
05.07.2015,13,4323
06.07.2015,28,3392
07.07.2015,9,5494
08.07.2015,80,4770
09.07.2015,55,3817
10.07.2015,53,3381
11.07.2015,58,5502
12.07.2015,59,3738
13.07.2015,46,5912
14.07.2015,74,5030
15.07.2015,33,3139
16.07.2015,88,5092
17.07.2015,44,5800
18.07.2015,68,3643
19.07.2015,31,4923
20.07.2015,25,3406
21.07.2015,92,4987
22.07.2015,94,5408
23.07.2015,7,5540
24.07.2015,81,3116
25.07.2015,1,5928
26.07.2015,76,5770
27.07.2015,4,5700
28.07.2015,27,5967
29.07.2015,91,4352
30.07.2015,29,3602
31.07.2015,20,4414
01.08.2015,9,3797
02.08.2015,41,3623
03.08.2015,92,5800
04.08.2015,26,5029
05.08.2015,70,3593
06.08.2015,55,4265
07.08.2015,10,4527
08.08.2015,14,4038
09.08.2015,24,3753
10.08.2015,52,3171
11.08.2015,16,4550
12.08.2015,59,5520
13.08.2015,75,4696
14.08.2015,78,5078
15.08.2015,4,5647
16.08.2015,47,5578
17.08.2015,50,5204
18.08.2015,10,5314
19.08.2015,45,3417
20.08.2015,61,5337
21.08.2015,12,3707
22.08.2015,100,4923
23.08.2015,16,3130
24.08.2015,92,4509
25.08.2015,69,3929
26.08.2015,66,3241
27.08.2015,59,3472
28.08.2015,69,4417
29.08.2015,62,5517
30.08.2015,31,4233
31.08.2015,54,4944
01.09.2015,31,4702
02.09.2015,96,3539
03.09.2015,73,5995
04.09.2015,18,3795
05.09.2015,50,4357
06.09.2015,60,4008
07.09.2015,33,3986
08.09.2015,96,4884
09.09.2015,97,3437
10.09.2015,50,3192
11.09.2015,74,3283
12.09.2015,59,3115
13.09.2015,74,3074
14.09.2015,67,3153
15.09.2015,92,5470
16.09.2015,97,4990
17.09.2015,90,4389
18.09.2015,4,4681
19.09.2015,97,5458
20.09.2015,43,4286
21.09.2015,91,3075
22.09.2015,84,5251
23.09.2015,76,4229
24.09.2015,4,4900
25.09.2015,65,4258
26.09.2015,45,4702
27.09.2015,45,4872
28.09.2015,72,3190
29.09.2015,33,3968
30.09.2015,49,4541
01.10.2015,10,4635
02.10.2015,26,5612
03.10.2015,71,5809
04.10.2015,13,3329
05.10.2015,31,4906
06.10.2015,36,4095
07.10.2015,78,3911
08.10.2015,49,4443
09.10.2015,40,5844
10.10.2015,32,5263
11.10.2015,66,5574
12.10.2015,46,5953
13.10.2015,50,4145
14.10.2015,16,5005
15.10.2015,16,5703
16.10.2015,7,5740
17.10.2015,21,4368
18.10.2015,64,3509
19.10.2015,19,3786
20.10.2015,97,4117
21.10.2015,72,5221
22.10.2015,66,3152
23.10.2015,50,5175
24.10.2015,38,3820
25.10.2015,3,5512
26.10.2015,82,5031
27.10.2015,17,3096
28.10.2015,49,5636
29.10.2015,51,4411
30.10.2015,29,4729
31.10.2015,75,3610
01.11.2015,56,4098
02.11.2015,92,5966
03.11.2015,84,4420
04.11.2015,31,5005
05.11.2015,33,3786
06.11.2015,90,3789
07.11.2015,49,5705
08.11.2015,32,3038
09.11.2015,55,3633
10.11.2015,52,5614
11.11.2015,67,5052
12.11.2015,42,3259
13.11.2015,40,3097
14.11.2015,43,3876
15.11.2015,86,3029
16.11.2015,14,4947
17.11.2015,32,3624
18.11.2015,51,5114
19.11.2015,1,4582
20.11.2015,19,3639
21.11.2015,76,4776
22.11.2015,68,5622
23.11.2015,59,3451
24.11.2015,37,4938
25.11.2015,63,3650
26.11.2015,71,4020
27.11.2015,95,3519
28.11.2015,69,5972
29.11.2015,87,5767
30.11.2015,93,3599
01.12.2015,5,4964
02.12.2015,22,3964
03.12.2015,64,5824
04.12.2015,3,5726
05.12.2015,73,3651
06.12.2015,85,3700
07.12.2015,22,3380
08.12.2015,27,4819
09.12.2015,9,5724
10.12.2015,76,3909
11.12.2015,17,3004
12.12.2015,35,5342
13.12.2015,63,5390
14.12.2015,32,4283
15.12.2015,85,4580
16.12.2015,38,5863
17.12.2015,72,5615
18.12.2015,11,3948
19.12.2015,93,4594
20.12.2015,6,4261
21.12.2015,22,4756
22.12.2015,51,3538
23.12.2015,58,3074
24.12.2015,93,5793
25.12.2015,79,3551
26.12.2015,5,5436
27.12.2015,42,3868
28.12.2015,51,5666
29.12.2015,51,4318
30.12.2015,20,4337
31.12.2015,84,5646
01.01.2016,39,5573
02.01.2016,79,5934
03.01.2016,1,3015
04.01.2016,42,3923
05.01.2016,1,4506
