date,project_id,net_value
25.05.2019,85,5 600.00
02.06.2019,24,8 400.00
22.06.2019,38,8 000.00
30.06.2019,13,7 200.00
05.07.2019,8,4 900.00
14.07.2019,12,7 300.00
24.07.2019,50,6 100.00
31.07.2019,77,4 800.00
07.08.2019,51,6 900.00
20.08.2019,99,4 300.00
03.09.2019,15,5 500.00
21.09.2019,43,4 300.00
01.10.2019,21,9 700.00
15.10.2019,62,6 800.00
24.10.2019,95,5 600.00
02.11.2019,54,7 400.00
08.11.2019,57,9 200.00
23.11.2019,16,5 500.00
09.12.2019,100,5 700.00
26.12.2019,93,8 800.00
30.12.2019,33,6 300.00
13.01.2020,93,9 500.00
01.02.2020,8,6 200.00
04.02.2020,22,5 200.00
10.02.2020,32,7 300.00
23.02.2020,31,6 200.00
09.03.2020,1,4 200.00
17.03.2020,65,4 500.00
26.03.2020,94,8 300.00
03.04.2020,55,5 900.00
10.04.2020,72,8 200.00
15.04.2020,85,4 300.00
20.04.2020,23,7 400.00
24.04.2020,15,9 300.00
01.05.2020,58,7 800.00
13.05.2020,56,7 200.00
16.05.2020,97,7 900.00
26.05.2020,69,9 700.00
04.06.2020,16,5 400.00
23.06.2020,20,7 800.00
02.07.2020,63,7 300.00
18.07.2020,58,9 500.00
22.07.2020,10,4 100.00
06.08.2020,18,8 100.00
12.08.2020,78,4 200.00
21.08.2020,1,5 700.00
05.09.2020,7,5 000.00
18.09.2020,3,4 300.00
04.10.2020,7,10 000.00
16.10.2020,25,8 200.00
