invoice_id,project,net_value,invoice_date
104,90,27 700.00,8/6/2013
105,82,16 600.00,8/8/2013
106,39,28 800.00,8/12/2013
107,89,10 000.00,8/13/2013
108,20,25 700.00,8/18/2013
109,90,18 800.00,8/19/2013
110,81,11 000.00,8/21/2013
111,98,27 300.00,8/23/2013
112,79,20 600.00,8/24/2013
113,91,21 700.00,8/29/2013
114,70,13 200.00,8/31/2013
115,97,19 200.00,9/2/2013
116,77,29 900.00,9/4/2013
117,86,5 300.00,9/7/2013
118,97,15 500.00,9/9/2013
119,87,27 900.00,9/11/2013
120,87,9 200.00,9/15/2013
121,52,16 400.00,9/19/2013
122,36,29 800.00,9/23/2013
123,100,27 500.00,9/26/2013
124,45,16 800.00,9/27/2013
125,69,5 300.00,10/2/2013
126,64,25 400.00,10/4/2013
127,58,6 400.00,10/9/2013
128,86,15 100.00,10/12/2013
129,10,20 300.00,10/14/2013
130,96,11 800.00,10/16/2013
131,50,20 900.00,10/19/2013
132,76,27 200.00,10/24/2013
133,7,22 400.00,10/27/2013
134,60,24 400.00,10/31/2013
135,61,28 200.00,11/2/2013
136,60,19 800.00,11/4/2013
137,56,29 800.00,11/9/2013
138,36,8 400.00,11/13/2013
139,23,18 700.00,11/17/2013
140,42,8 500.00,11/21/2013
141,61,5 500.00,11/22/2013
142,79,18 600.00,11/27/2013
143,30,6 000.00,12/1/2013
144,75,14 500.00,12/3/2013
145,66,26 300.00,12/5/2013
146,65,19 200.00,12/9/2013
147,23,20 700.00,12/14/2013
148,62,28 900.00,12/17/2013
149,88,24 100.00,12/20/2013
150,36,14 700.00,12/23/2013
151,17,26 100.00,12/27/2013
152,47,7 400.00,12/28/2013
153,23,23 500.00,12/31/2013
154,64,25 300.00,1/3/2014
155,1,15 100.00,1/4/2014
156,26,25 300.00,1/5/2014
157,85,6 900.00,1/6/2014
158,86,25 100.00,1/10/2014
159,76,15 000.00,1/15/2014
160,91,28 000.00,1/17/2014
161,85,11 800.00,1/18/2014
162,18,20 800.00,1/19/2014
163,31,17 900.00,1/23/2014
164,34,5 600.00,1/24/2014
165,13,11 300.00,1/29/2014
166,64,18 500.00,1/31/2014
167,34,18 300.00,2/4/2014
168,26,10 500.00,2/6/2014
169,60,20 200.00,2/10/2014
170,68,24 200.00,2/11/2014
171,84,8 800.00,2/15/2014
172,28,13 800.00,2/19/2014
173,36,18 800.00,2/23/2014
174,33,8 800.00,2/24/2014
175,19,13 200.00,2/26/2014
176,24,6 700.00,2/28/2014
177,27,7 700.00,3/5/2014
178,34,18 100.00,3/7/2014
179,86,9 000.00,3/9/2014
180,87,9 900.00,3/11/2014
181,76,8 100.00,3/14/2014
182,30,8 800.00,3/17/2014
183,67,22 100.00,3/18/2014
184,31,12 600.00,3/23/2014
185,27,7 300.00,3/24/2014
186,31,9 200.00,3/26/2014
187,90,23 600.00,3/29/2014
188,35,29 900.00,4/3/2014
189,100,9 300.00,4/6/2014
190,1,25 800.00,4/11/2014
191,24,9 200.00,4/13/2014
192,35,17 600.00,4/16/2014
193,25,20 200.00,4/19/2014
194,31,5 600.00,4/24/2014
195,17,20 800.00,4/25/2014
196,35,11 600.00,4/30/2014
197,5,20 200.00,5/1/2014
198,31,11 400.00,5/3/2014
199,3,17 500.00,5/5/2014
200,73,26 300.00,5/10/2014
201,16,22 600.00,5/14/2014
202,10,7 900.00,5/16/2014
203,7,14 000.00,5/17/2014
204,87,11 000.00,5/18/2014
205,98,22 200.00,5/21/2014
206,87,11 900.00,5/26/2014
207,4,27 200.00,5/29/2014
208,38,25 800.00,6/3/2014
209,41,19 600.00,6/5/2014
210,60,11 300.00,6/10/2014
211,25,14 700.00,6/11/2014
212,45,12 300.00,6/12/2014
213,32,20 200.00,6/15/2014
214,92,18 600.00,6/17/2014
215,17,13 200.00,6/21/2014
216,2,11 400.00,6/26/2014
217,3,18 300.00,7/1/2014
218,83,9 300.00,7/5/2014
219,29,7 300.00,7/8/2014
220,83,25 200.00,7/10/2014
221,1,8 700.00,7/15/2014
222,85,18 600.00,7/20/2014
223,69,24 200.00,7/24/2014
224,51,15 300.00,7/29/2014
225,90,16 600.00,8/2/2014
226,12,19 100.00,8/5/2014
227,4,19 500.00,8/6/2014
228,2,20 300.00,8/10/2014
229,88,10 900.00,8/12/2014
230,69,24 000.00,8/14/2014
231,4,21 400.00,8/17/2014
232,64,16 900.00,8/18/2014
233,51,12 700.00,8/22/2014
234,72,17 600.00,8/27/2014
235,64,19 500.00,8/31/2014
236,49,20 100.00,9/4/2014
237,3,20 700.00,9/6/2014
238,94,16 500.00,9/7/2014
239,45,7 200.00,9/11/2014
240,69,28 600.00,9/14/2014
241,79,23 100.00,9/17/2014
242,29,20 000.00,9/18/2014
243,73,28 900.00,9/23/2014
244,57,16 400.00,9/24/2014
245,51,17 500.00,9/26/2014
246,6,9 100.00,9/29/2014
247,81,12 200.00,10/4/2014
248,61,13 700.00,10/7/2014
249,48,23 200.00,10/9/2014
250,29,14 400.00,10/14/2014
251,55,13 800.00,10/19/2014
252,84,20 100.00,10/22/2014
253,77,8 300.00,10/27/2014
254,76,14 000.00,10/28/2014
255,49,23 300.00,10/31/2014
256,87,8 800.00,11/1/2014
257,24,6 100.00,11/2/2014
258,75,27 100.00,11/7/2014
259,31,5 400.00,11/9/2014
260,19,18 400.00,11/13/2014
261,98,23 700.00,11/17/2014
262,5,13 400.00,11/21/2014
263,95,17 600.00,11/22/2014
264,18,5 700.00,11/27/2014
265,48,5 200.00,11/28/2014
266,36,12 200.00,12/2/2014
267,73,22 700.00,12/5/2014
268,97,20 800.00,12/7/2014
269,54,6 100.00,12/8/2014
270,18,28 500.00,12/12/2014
271,69,18 000.00,12/17/2014
272,28,10 200.00,12/18/2014
273,89,15 700.00,12/20/2014
274,17,15 900.00,12/21/2014
275,70,12 300.00,12/25/2014
276,8,28 400.00,12/30/2014
277,24,19 300.00,12/31/2014
278,78,16 300.00,1/1/2015
279,86,10 100.00,1/2/2015
280,35,24 300.00,1/7/2015
281,70,24 400.00,1/12/2015
282,99,5 900.00,1/15/2015
283,19,13 900.00,1/16/2015
284,74,11 800.00,1/17/2015
285,42,27 100.00,1/20/2015
286,83,21 100.00,1/23/2015
287,82,10 900.00,1/26/2015
288,55,15 400.00,1/28/2015
289,23,22 700.00,1/29/2015
290,54,7 600.00,1/31/2015
291,8,13 200.00,2/5/2015
292,68,7 500.00,2/6/2015
293,13,19 100.00,2/9/2015
294,97,6 700.00,2/10/2015
295,79,6 700.00,2/11/2015
296,5,18 300.00,2/15/2015
297,88,15 300.00,2/20/2015
298,5,13 800.00,2/25/2015
299,32,20 200.00,3/2/2015
300,28,28 500.00,3/7/2015
301,64,29 100.00,3/9/2015
302,95,22 200.00,3/14/2015
303,70,28 200.00,3/15/2015
304,88,12 200.00,3/18/2015
305,77,15 200.00,3/19/2015
306,68,8 800.00,3/22/2015
307,69,7 200.00,3/27/2015
308,90,28 400.00,3/28/2015
309,29,16 400.00,3/29/2015
310,36,21 600.00,3/30/2015
311,32,6 800.00,4/3/2015
312,28,25 600.00,4/5/2015
313,53,11 200.00,4/6/2015
314,16,11 500.00,4/10/2015
315,66,15 600.00,4/13/2015
316,81,13 300.00,4/15/2015
317,2,23 600.00,4/16/2015
318,51,27 000.00,4/21/2015
319,81,27 900.00,4/23/2015
320,8,12 300.00,4/27/2015
321,95,17 900.00,4/30/2015
322,37,20 100.00,5/3/2015
323,28,19 300.00,5/8/2015
324,9,21 000.00,5/12/2015
325,42,5 800.00,5/14/2015
326,92,16 700.00,5/19/2015
327,89,28 700.00,5/24/2015
328,36,22 500.00,5/26/2015
329,60,15 700.00,5/28/2015
330,85,13 700.00,6/2/2015
331,93,9 000.00,6/6/2015
332,21,18 200.00,6/7/2015
333,11,19 200.00,6/12/2015
334,56,15 000.00,6/14/2015
335,43,18 200.00,6/19/2015
336,86,9 200.00,6/24/2015
337,91,22 000.00,6/25/2015
338,36,17 900.00,6/28/2015
339,96,15 800.00,7/2/2015
340,28,27 900.00,7/7/2015
341,27,12 600.00,7/11/2015
342,47,15 700.00,7/15/2015
343,35,6 100.00,7/19/2015
344,52,19 500.00,7/21/2015
345,44,12 600.00,7/24/2015
346,38,20 700.00,7/27/2015
347,14,29 200.00,8/1/2015
348,93,26 400.00,8/4/2015
349,54,22 500.00,8/9/2015
350,71,29 400.00,8/10/2015
351,35,23 100.00,8/11/2015
352,7,23 900.00,8/12/2015
353,82,17 900.00,8/14/2015
354,78,6 000.00,8/19/2015
355,34,29 700.00,8/20/2015
356,96,28 500.00,8/23/2015
357,45,14 600.00,8/26/2015
358,90,11 500.00,8/27/2015
359,6,9 000.00,8/29/2015
360,53,18 300.00,9/2/2015
361,80,5 700.00,9/5/2015
362,27,9 700.00,9/9/2015
363,4,21 900.00,9/13/2015
364,63,9 400.00,9/14/2015
365,75,6 200.00,9/17/2015
366,3,28 400.00,9/18/2015
367,79,23 800.00,9/23/2015
368,79,13 500.00,9/28/2015
369,90,19 400.00,9/30/2015
370,65,9 500.00,10/4/2015
371,18,10 800.00,10/9/2015
372,84,5 400.00,10/12/2015
373,74,14 800.00,10/14/2015
374,96,15 700.00,10/18/2015
375,16,16 800.00,10/22/2015
376,2,16 500.00,10/27/2015
377,49,9 900.00,10/29/2015
378,19,26 000.00,11/1/2015
379,84,25 900.00,11/6/2015
380,86,25 600.00,11/7/2015
381,89,12 000.00,11/11/2015
382,27,25 600.00,11/16/2015
383,59,13 700.00,11/21/2015
384,55,25 700.00,11/23/2015
385,51,26 100.00,11/25/2015
386,54,20 000.00,11/27/2015
387,22,24 200.00,11/29/2015
388,27,27 600.00,12/4/2015
389,54,15 400.00,12/6/2015
390,76,23 800.00,12/11/2015
391,9,11 900.00,12/12/2015
392,21,8 400.00,12/13/2015
393,80,24 400.00,12/16/2015
394,64,9 300.00,12/19/2015
395,14,17 600.00,12/24/2015
396,81,23 500.00,12/28/2015
397,28,7 900.00,12/30/2015
398,27,15 100.00,1/3/2016
399,65,26 400.00,1/4/2016
400,54,27 900.00,1/6/2016
401,55,28 100.00,1/10/2016
402,13,17 900.00,1/15/2016
403,92,23 900.00,1/16/2016
404,3,25 900.00,1/21/2016
405,44,15 500.00,1/22/2016
406,26,16 500.00,1/23/2016
407,46,17 400.00,1/28/2016
408,31,12 200.00,1/30/2016
409,36,5 600.00,2/1/2016
410,22,26 300.00,2/5/2016
411,51,19 900.00,2/9/2016
412,70,14 300.00,2/10/2016
413,17,5 500.00,2/13/2016
414,17,9 500.00,2/14/2016
415,87,29 700.00,2/16/2016
416,21,11 300.00,2/17/2016
417,30,6 300.00,2/18/2016
418,55,5 800.00,2/20/2016
419,2,28 900.00,2/24/2016
420,25,17 300.00,2/27/2016
421,29,13 900.00,2/28/2016
422,53,11 600.00,3/3/2016
423,76,21 200.00,3/4/2016
424,80,7 100.00,3/7/2016
425,99,12 700.00,3/10/2016
426,68,14 400.00,3/15/2016
427,7,24 000.00,3/17/2016
428,38,21 800.00,3/22/2016
429,60,11 500.00,3/26/2016
430,22,16 000.00,3/30/2016
431,26,25 000.00,4/1/2016
432,38,15 900.00,4/5/2016
433,13,5 300.00,4/7/2016
434,22,9 500.00,4/10/2016
435,17,6 600.00,4/13/2016
436,65,9 000.00,4/15/2016
437,5,11 900.00,4/19/2016
438,18,7 700.00,4/20/2016
439,37,27 500.00,4/23/2016
440,33,16 100.00,4/26/2016
441,56,5 700.00,5/1/2016
442,49,19 100.00,5/2/2016
443,19,19 900.00,5/5/2016
444,10,16 300.00,5/8/2016
445,100,27 600.00,5/12/2016
446,67,21 100.00,5/17/2016
447,79,27 200.00,5/18/2016
448,38,27 000.00,5/21/2016
449,1,23 500.00,5/26/2016
450,18,28 600.00,5/28/2016
451,4,15 500.00,5/30/2016
452,87,6 400.00,5/31/2016
453,22,23 900.00,6/3/2016
454,92,25 900.00,6/6/2016
455,40,13 400.00,6/11/2016
456,20,29 800.00,6/13/2016
457,4,5 500.00,6/15/2016
458,10,9 700.00,6/16/2016
459,9,6 800.00,6/19/2016
460,35,9 300.00,6/24/2016
461,77,5 800.00,6/29/2016
462,45,6 900.00,7/4/2016
463,5,13 000.00,7/9/2016
464,90,28 400.00,7/12/2016
465,15,14 600.00,7/15/2016
466,99,25 800.00,7/18/2016
467,17,11 000.00,7/20/2016
468,81,17 300.00,7/23/2016
469,69,9 900.00,7/25/2016
470,42,8 700.00,7/30/2016
471,45,26 300.00,8/2/2016
472,74,23 800.00,8/5/2016
473,52,17 000.00,8/8/2016
474,49,17 100.00,8/13/2016
475,59,11 300.00,8/18/2016
476,53,18 700.00,8/19/2016
477,7,16 400.00,8/23/2016
478,45,10 800.00,8/26/2016
479,87,17 300.00,8/30/2016
480,22,18 700.00,9/1/2016
481,65,29 900.00,9/6/2016
482,66,11 500.00,9/7/2016
483,27,25 900.00,9/12/2016
484,83,15 800.00,9/13/2016
485,86,22 400.00,9/16/2016
486,38,18 900.00,9/17/2016
487,95,25 400.00,9/19/2016
488,70,6 700.00,9/24/2016
489,23,25 800.00,9/27/2016
490,91,9 900.00,9/29/2016
491,69,25 500.00,10/4/2016
492,80,28 500.00,10/6/2016
493,30,22 800.00,10/10/2016
494,10,27 300.00,10/15/2016
495,35,23 100.00,10/20/2016
496,91,27 900.00,10/21/2016
497,70,23 900.00,10/26/2016
498,62,18 900.00,10/30/2016
499,92,26 300.00,11/2/2016
500,5,24 000.00,11/3/2016
501,2,11 500.00,11/8/2016
502,85,24 800.00,11/12/2016
503,70,16 200.00,11/15/2016
504,90,7 000.00,11/17/2016
505,38,10 300.00,11/21/2016
506,20,29 200.00,11/26/2016
507,16,24 100.00,11/30/2016
508,95,17 900.00,12/1/2016
509,93,23 300.00,12/3/2016
510,26,26 200.00,12/6/2016
511,39,12 300.00,12/9/2016
512,67,20 300.00,12/10/2016
513,36,11 400.00,12/14/2016
514,39,21 000.00,12/17/2016
515,62,24 600.00,12/21/2016
516,96,24 800.00,12/24/2016
517,68,25 400.00,12/28/2016
518,57,14 700.00,12/29/2016
519,95,26 900.00,1/1/2017
520,52,7 200.00,1/5/2017
521,41,9 700.00,1/7/2017
522,1,15 900.00,1/10/2017
523,82,6 500.00,1/11/2017
524,69,25 300.00,1/13/2017
525,80,12 300.00,1/17/2017
526,31,23 500.00,1/19/2017
527,63,8 800.00,1/24/2017
528,42,15 600.00,1/28/2017
529,76,24 300.00,2/2/2017
530,62,7 100.00,2/5/2017
531,99,25 900.00,2/9/2017
532,58,20 700.00,2/12/2017
533,49,17 200.00,2/15/2017
534,16,13 400.00,2/20/2017
535,96,29 600.00,2/25/2017
536,47,18 500.00,3/1/2017
537,92,14 900.00,3/4/2017
538,50,8 100.00,3/8/2017
539,3,29 000.00,3/12/2017
540,58,24 900.00,3/17/2017
541,75,11 700.00,3/22/2017
542,90,22 200.00,3/27/2017
543,9,7 000.00,4/1/2017
544,71,29 600.00,4/3/2017
545,91,5 000.00,4/6/2017
546,54,25 600.00,4/10/2017
547,100,12 700.00,4/11/2017
548,9,8 300.00,4/12/2017
549,57,26 700.00,4/16/2017
550,91,24 400.00,4/17/2017
551,95,26 600.00,4/22/2017
552,10,24 000.00,4/25/2017
553,50,11 200.00,4/27/2017
554,8,12 600.00,5/2/2017
555,54,24 700.00,5/7/2017
556,56,21 300.00,5/10/2017
557,27,16 100.00,5/13/2017
558,48,27 700.00,5/15/2017
559,87,5 500.00,5/19/2017
560,98,26 200.00,5/24/2017
561,33,19 900.00,5/28/2017
562,7,23 000.00,5/31/2017
563,72,23 500.00,6/4/2017
564,31,9 400.00,6/6/2017
565,8,23 100.00,6/11/2017
566,6,22 500.00,6/16/2017
567,3,17 700.00,6/21/2017
568,81,27 800.00,6/26/2017
569,37,16 500.00,6/27/2017
570,28,10 900.00,7/2/2017
571,95,8 100.00,7/7/2017
572,17,14 400.00,7/10/2017
573,95,8 100.00,7/13/2017
574,12,23 500.00,7/14/2017
575,98,13 300.00,7/15/2017
576,37,28 900.00,7/20/2017
577,57,7 500.00,7/21/2017
578,33,18 200.00,7/22/2017
579,79,17 800.00,7/23/2017
580,45,29 700.00,7/28/2017
581,33,23 000.00,7/29/2017
582,32,19 800.00,7/30/2017
583,39,6 800.00,7/31/2017
584,7,28 900.00,8/2/2017
585,40,27 400.00,8/6/2017
586,91,17 200.00,8/8/2017
587,26,6 500.00,8/13/2017
588,14,25 500.00,8/14/2017
589,74,6 500.00,8/19/2017
590,45,6 100.00,8/20/2017
591,8,14 800.00,8/24/2017
592,92,18 500.00,8/26/2017
593,37,13 600.00,8/31/2017
594,31,13 300.00,9/3/2017
595,37,24 000.00,9/7/2017
596,2,15 200.00,9/12/2017
597,9,16 400.00,9/16/2017
598,18,11 200.00,9/21/2017
599,45,8 900.00,9/22/2017
600,1,10 300.00,9/24/2017
601,83,23 000.00,9/29/2017
602,89,26 500.00,10/4/2017
603,2,25 000.00,10/8/2017
604,30,14 500.00,10/10/2017
605,10,24 700.00,10/15/2017
606,10,15 200.00,10/20/2017
607,35,7 700.00,10/25/2017
608,45,9 400.00,10/27/2017
609,72,24 500.00,11/1/2017
610,31,28 700.00,11/4/2017
611,52,18 000.00,11/6/2017
612,23,18 400.00,11/10/2017
613,56,22 800.00,11/11/2017
614,89,16 800.00,11/12/2017
615,73,27 700.00,11/13/2017
616,55,28 100.00,11/16/2017
617,77,29 500.00,11/17/2017
618,24,11 500.00,11/20/2017
619,71,19 000.00,11/21/2017
620,80,12 800.00,11/24/2017
621,11,12 200.00,11/29/2017
622,5,11 800.00,12/3/2017
623,43,23 100.00,12/6/2017
624,58,24 800.00,12/9/2017
625,84,14 900.00,12/14/2017
626,52,12 100.00,12/17/2017
627,20,21 800.00,12/18/2017
628,95,21 800.00,12/22/2017
629,45,29 200.00,12/27/2017
630,45,28 800.00,12/30/2017
631,56,28 600.00,1/3/2018
632,96,24 700.00,1/4/2018
633,9,12 000.00,1/9/2018
634,18,11 400.00,1/12/2018
635,94,28 800.00,1/16/2018
636,83,5 600.00,1/21/2018
637,21,22 700.00,1/25/2018
638,95,11 900.00,1/30/2018
639,31,16 100.00,2/2/2018
640,92,27 800.00,2/3/2018
641,89,6 900.00,2/5/2018
642,77,6 300.00,2/8/2018
643,100,27 400.00,2/13/2018
644,44,11 200.00,2/16/2018
645,63,20 400.00,2/20/2018
646,66,11 100.00,2/25/2018
647,32,27 200.00,2/26/2018
648,78,14 300.00,3/2/2018
649,68,20 700.00,3/6/2018
650,48,29 100.00,3/9/2018
651,94,19 900.00,3/12/2018
652,91,9 800.00,3/15/2018
653,76,27 000.00,3/19/2018
654,99,23 900.00,3/24/2018
655,63,7 800.00,3/27/2018
656,6,10 000.00,3/28/2018
657,34,19 100.00,3/29/2018
658,8,15 000.00,4/2/2018
659,81,6 200.00,4/5/2018
660,93,14 500.00,4/6/2018
661,94,26 100.00,4/10/2018
662,78,16 200.00,4/12/2018
663,88,23 800.00,4/16/2018
664,4,16 800.00,4/18/2018
665,45,29 200.00,4/20/2018
666,74,17 500.00,4/25/2018
667,42,8 600.00,4/30/2018
668,100,6 500.00,5/3/2018
669,100,18 800.00,5/6/2018
670,40,24 200.00,5/10/2018
671,28,29 500.00,5/15/2018
672,90,25 700.00,5/19/2018
673,62,20 200.00,5/21/2018
674,88,13 700.00,5/24/2018
675,28,20 600.00,5/26/2018
676,90,5 900.00,5/29/2018
677,19,14 400.00,6/1/2018
678,64,27 500.00,6/4/2018
679,7,13 800.00,6/6/2018
680,61,25 000.00,6/9/2018
681,79,29 800.00,6/10/2018
682,83,16 800.00,6/13/2018
683,25,10 200.00,6/15/2018
684,69,22 300.00,6/16/2018
685,57,22 800.00,6/18/2018
686,37,8 400.00,6/20/2018
687,84,19 300.00,6/25/2018
688,71,26 400.00,6/26/2018
689,26,24 900.00,6/29/2018
690,37,6 800.00,7/2/2018
691,52,16 700.00,7/7/2018
692,51,16 400.00,7/10/2018
693,89,16 000.00,7/15/2018
694,83,16 100.00,7/18/2018
695,81,8 200.00,7/23/2018
696,50,11 400.00,7/26/2018
697,84,28 700.00,7/27/2018
698,68,8 700.00,7/31/2018
699,72,13 900.00,8/4/2018
700,70,13 400.00,8/9/2018
701,9,29 100.00,8/14/2018
702,62,5 500.00,8/19/2018
703,44,7 600.00,8/21/2018
704,69,17 400.00,8/22/2018
705,80,25 200.00,8/25/2018
706,28,23 100.00,8/29/2018
707,2,23 600.00,9/1/2018
708,70,24 000.00,9/2/2018
709,81,10 900.00,9/5/2018
710,19,5 200.00,9/7/2018
711,69,23 900.00,9/9/2018
712,87,19 900.00,9/11/2018
713,40,13 200.00,9/15/2018
714,83,29 800.00,9/19/2018
715,23,17 000.00,9/23/2018
716,90,9 700.00,9/27/2018
717,73,18 900.00,10/1/2018
718,28,10 000.00,10/4/2018
719,50,18 000.00,10/7/2018
720,32,10 500.00,10/12/2018
721,11,17 800.00,10/14/2018
722,94,7 300.00,10/16/2018
723,55,17 400.00,10/17/2018
724,93,8 600.00,10/21/2018
725,38,17 500.00,10/26/2018
726,68,20 400.00,10/28/2018
727,51,8 400.00,10/29/2018
728,41,7 800.00,11/3/2018
729,79,5 400.00,11/6/2018
730,23,21 000.00,11/9/2018
731,6,14 600.00,11/14/2018
732,86,14 000.00,11/18/2018
733,84,18 500.00,11/20/2018
734,11,10 100.00,11/21/2018
735,47,18 900.00,11/22/2018
736,41,9 600.00,11/24/2018
737,55,11 400.00,11/27/2018
738,62,13 300.00,11/30/2018
739,16,24 000.00,12/1/2018
740,31,11 800.00,12/2/2018
741,57,25 100.00,12/3/2018
742,70,12 900.00,12/5/2018
743,26,14 500.00,12/10/2018
744,46,24 700.00,12/12/2018
745,59,13 500.00,12/15/2018
746,40,20 000.00,12/17/2018
747,28,8 500.00,12/20/2018
748,40,5 700.00,12/23/2018
749,62,26 600.00,12/25/2018
750,62,19 100.00,12/30/2018
751,89,26 300.00,1/4/2019
752,13,11 600.00,1/6/2019
753,1,15 600.00,1/8/2019
754,49,24 000.00,1/9/2019
755,84,23 700.00,1/13/2019
756,93,21 800.00,1/14/2019
757,26,15 000.00,1/16/2019
758,14,9 200.00,1/17/2019
759,77,27 400.00,1/21/2019
760,6,15 000.00,1/23/2019
761,97,15 500.00,1/26/2019
762,47,22 100.00,1/29/2019
763,56,18 700.00,1/30/2019
764,39,16 500.00,2/2/2019
765,69,23 800.00,2/4/2019
766,13,15 500.00,2/7/2019
767,95,13 400.00,2/10/2019
768,94,13 600.00,2/11/2019
769,80,6 000.00,2/12/2019
770,72,10 300.00,2/16/2019
771,85,7 200.00,2/17/2019
772,27,6 200.00,2/18/2019
773,43,10 100.00,2/23/2019
774,24,20 500.00,2/26/2019
775,42,15 500.00,3/2/2019
776,21,10 800.00,3/5/2019
777,49,7 000.00,3/9/2019
778,24,21 600.00,3/11/2019
779,57,16 900.00,3/12/2019
780,91,12 600.00,3/13/2019
781,12,13 000.00,3/18/2019
782,26,27 800.00,3/19/2019
783,15,12 000.00,3/23/2019
784,68,7 600.00,3/25/2019
785,58,9 100.00,3/28/2019
786,94,16 200.00,4/1/2019
787,78,19 600.00,4/3/2019
788,73,13 300.00,4/7/2019
789,1,9 400.00,4/12/2019
790,63,22 200.00,4/16/2019
791,65,17 300.00,4/17/2019
792,78,29 700.00,4/19/2019
793,71,20 000.00,4/22/2019
794,44,22 400.00,4/26/2019
795,41,15 800.00,5/1/2019
796,5,18 000.00,5/3/2019
797,70,28 300.00,5/4/2019
798,65,14 400.00,5/5/2019
799,22,19 800.00,5/6/2019
800,11,19 900.00,5/10/2019
